Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Oklahoma Sooners,.490,.348,.681,11.17142857142857,24.257142857142856,12.457142857142857,6.457142857142857,3.857142857142857,12.885714285714286,17.0,.571,.589,14.7,1.8,2.3,.488,.604,11.4,1.3,2.6,.459,.723,11.3,1.9,2.2,2
Oral Roberts Golden Eagles,.477,.369,.670,11.242424242424242,24.575757575757574,13.484848484848484,6.242424242424242,4.0,13.06060606060606,16.78787878787879,.408,.852,16.1,2.0,2.0,.404,.860,11.7,1.3,1.0,.562,.680,9.7,0.6,1.4,1
Oregon Ducks,.538,.392,.694,10.21875,23.9375,14.84375,4.625,2.53125,12.5625,18.3125,.577,.732,16.3,2.1,1.8,.609,.789,15.2,2.8,1.6,.431,.787,13.9,2.4,2.3,1
Pitt Panthers,.510,.335,.667,14.405405405405405,23.405405405405407,15.621621621621621,6.783783783783784,3.3783783783783785,12.027027027027026,16.16216216216216,.538,.690,18.1,1.2,2.4,.446,.712,11.9,5.3,1.8,.537,.624,11.6,0.9,1.9,2
Portland State Vikings,.514,.393,.677,11.545454545454545,22.666666666666668,15.787878787878787,7.0,3.272727272727273,14.666666666666666,17.90909090909091,.527,.813,14.2,4.1,2.4,.572,.748,13.7,2.6,2.5,.575,.633,10.4,1.1,1.2,1
Purdue Boilermakers,.453,.373,.712,11.441176470588236,21.61764705882353,13.264705882352942,8.411764705882353,4.323529411764706,12.823529411764707,19.735294117647058,.449,.716,12.9,2.6,1.7,.507,.865,11.4,2.5,1.4,.413,.851,11.2,1.6,1.6,2
Saint Mary's Gaels,.520,.360,.661,12.03125,25.9375,14.625,7.1875,5.28125,13.71875,17.40625,.538,.761,14.8,3.5,2.8,.567,.615,13.4,1.1,2.3,.524,.596,10.5,1.2,1.3,1
San Diego State Aztecs,.494,.330,.679,10.93939393939394,22.696969696969695,12.727272727272727,7.878787878787879,2.515151515151515,13.575757575757576,17.666666666666668,.479,.671,14.8,3.6,2.8,.407,.800,13.2,1.2,2.0,.508,.645,11.4,0.8,1.7,1
San Diego Toreros,.492,.340,.672,10.666666666666666,22.833333333333332,13.222222222222221,6.944444444444445,3.138888888888889,14.944444444444445,17.47222222222222,.450,.627,16.9,3.5,3.3,.558,.717,14.1,0.8,1.4,.511,.556,9.0,1.3,2.3,2
Siena Saints,.481,.382,.689,11.470588235294118,22.294117647058822,14.382352941176471,9.411764705882353,3.5,11.323529411764707,15.470588235294118,.550,.704,17.0,1.7,1.6,.467,.719,16.1,2.2,1.8,.568,.661,15.1,1.1,2.0,2
South Alabama Jaguars,.531,.362,.704,12.242424242424242,24.757575757575758,15.424242424242424,6.090909090909091,3.0303030303030303,13.848484848484848,17.242424242424242,.557,.836,19.7,2.5,2.5,.432,.884,12.5,2.0,1.5,.537,.711,11.5,5.5,2.8,1
Stanford Cardinal,.480,.366,.694,13.277777777777779,25.86111111111111,14.583333333333334,4.388888888888889,5.194444444444445,12.277777777777779,17.02777777777778,.475,.789,19.3,1.4,2.1,.533,.652,10.2,0.6,1.8,.388,.746,10.0,1.7,1.3,3
Temple Owls,.533,.369,.740,8.882352941176471,23.705882352941178,15.0,6.294117647058823,4.352941176470588,12.705882352941176,17.676470588235293,.541,.772,19.7,2.5,2.8,.525,.710,15.9,4.3,3.4,.481,.870,8.6,1.3,0.9,1
Tennessee Volunteers,.523,.357,.659,13.916666666666666,23.805555555555557,17.694444444444443,9.277777777777779,3.3055555555555554,13.166666666666666,20.805555555555557,.437,.842,15.5,1.8,1.4,.604,.765,14.4,2.3,1.7,.555,.706,13.6,3.4,2.2,3
Texas A&M Aggies,.514,.359,.633,11.777777777777779,27.166666666666668,13.5,4.388888888888889,4.027777777777778,12.722222222222221,16.97222222222222,.482,.821,12.2,1.4,0.8,.488,.688,10.3,1.3,1.3,.480,.673,9.5,3.4,2.3,2
Texas Longhorns,.487,.386,.683,13.052631578947368,25.05263157894737,13.18421052631579,6.0,5.2105263157894735,9.447368421052632,16.55263157894737,.471,.783,19.2,5.8,2.8,.488,.809,16.5,1.5,0.8,.474,.570,13.2,1.3,1.6,4
UCLA Bruins,.525,.350,.732,12.615384615384615,24.102564102564102,14.41025641025641,7.3076923076923075,4.282051282051282,12.58974358974359,14.58974358974359,.611,.767,17.5,1.9,2.0,.462,.872,14.5,3.8,2.2,.497,.713,12.7,4.3,2.5,5
UConn Huskies,.495,.361,.720,13.606060606060606,28.303030303030305,14.787878787878787,5.7272727272727275,8.636363636363637,13.666666666666666,15.333333333333334,.501,.616,14.8,1.3,2.7,.480,.746,14.5,5.8,2.4,.465,.811,12.5,2.0,2.7,1
UMBC Retrievers,.481,.389,.725,11.242424242424242,22.87878787878788,15.151515151515152,6.333333333333333,3.4545454545454546,9.636363636363637,16.272727272727273,.492,.836,16.5,2.1,1.7,.504,.714,15.1,1.5,1.8,.416,.782,14.0,1.6,1.3,1
