Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Michigan State Spartans,.504,.338,.714,11.694444444444445,22.77777777777778,13.166666666666666,8.027777777777779,3.888888888888889,13.583333333333334,16.083333333333332,.464,.749,13.4,3.3,2.3,.497,.755,12.9,1.4,1.5,.579,.848,10.5,0.8,1.8,3
Michigan Wolverines,.535,.385,.701,10.666666666666666,21.28205128205128,14.487179487179487,6.128205128205129,2.769230769230769,9.435897435897436,12.717948717948717,.506,.801,18.6,6.7,2.2,.483,.694,14.5,2.4,1.9,.652,.676,11.0,1.1,0.8,6
Middle Tennessee Blue Raiders,.492,.377,.696,11.970588235294118,21.764705882352942,14.147058823529411,7.0,3.764705882352941,13.647058823529411,20.58823529411765,.472,.697,12.6,2.5,1.9,.442,.816,8.5,1.4,1.1,.498,.635,8.5,0.4,1.4,0.5
Minnesota Golden Gophers,.488,.337,.685,14.735294117647058,20.147058823529413,14.794117647058824,7.4411764705882355,5.5,13.735294117647058,17.794117647058822,.415,.806,14.6,3.4,2.3,.482,.800,10.7,2.6,1.3,.520,.632,10.1,1.7,1.6,2
Mississippi State Bulldogs,.455,.284,.657,10.71875,19.28125,10.03125,8.03125,3.875,17.03125,16.21875,.467,.554,10.5,2.3,4.0,.348,.923,10.1,1.1,1.8,.437,.795,9.7,1.3,1.5,1
Missouri Tigers,.514,.339,.744,13.352941176470589,23.88235294117647,13.882352941176471,6.735294117647059,3.5,13.0,16.676470588235293,.578,.683,14.1,1.1,1.3,.464,.785,13.7,1.4,1.7,.408,.735,11.9,7.1,3.5,1
Montana Grizzlies,.517,.372,.767,7.75,20.53125,12.65625,5.84375,3.125,12.21875,16.96875,.540,.817,14.8,0.8,1.8,.564,.710,14.2,4.0,2.9,.482,.764,13.3,3.9,2.6,1
NC State Wolfpack,.528,.391,.681,11.314285714285715,22.571428571428573,14.6,6.485714285714286,4.2,12.371428571428572,15.542857142857143,.522,.612,15.1,1.5,3.0,.570,.648,12.7,1.7,1.6,.415,.914,12.6,1.1,1.0,1
New Mexico Lobos,.461,.351,.721,9.571428571428571,22.514285714285716,14.428571428571429,6.285714285714286,3.8285714285714287,11.485714285714286,15.485714285714286,.453,.765,13.3,4.9,2.1,.452,.843,12.5,2.9,2.1,.531,.715,12.1,0.5,1.5,1
New Mexico State Aggies,.500,.313,.656,12.257142857142858,23.02857142857143,11.457142857142857,5.6571428571428575,5.514285714285714,14.457142857142857,15.0,.488,.759,13.8,2.6,3.0,.460,.680,11.9,1.4,2.3,.506,.661,10.3,2.8,2.5,1
